NM_REGIAO,CD_UF,NM_UF,SIGLA,CD_MUN,NM_MUN,AREA_TOT,AREA_INT,PERC_INT,LAT_SEDE,LNG_SEDE,SEDE_AL,,,,
Norte,13,Amazonas,AM,1304203,Tefé,"23.692,22","23.692,22",100,"-3,35","-64,71",sim,,,,
Norte,13,Amazonas,AM,1304237,Tonantins,"6.446,89","6.446,89",100,"-2,86","-67,77",sim,,,,
Norte,13,Amazonas,AM,1304260,Uarini,"10.274,68","10.274,68",100,"-2,99","-65,16",sim,,,,
Norte,13,Amazonas,AM,1304302,Urucará,"27.901,96","27.901,96",100,"-2,54","-57,76",sim,,,,
Norte,13,Amazonas,AM,1304401,Urucurituba,"2.886,49","2.886,49",100,"-3,13","-58,16",sim,,,,
Norte,14,Roraima,RR,1400027,Amajari,"28.473,45","28.473,45",100,"3,66","-61,42",sim,,,,
Norte,14,Roraima,RR,1400050,Alto Alegre,"25.454,30","25.454,30",100,"2,99","-61,31",sim,,,,
Norte,14,Roraima,RR,1400100,Boa Vista,"5.687,04","5.687,04",100,"2,82","-60,67",sim,,,,
Norte,14,Roraima,RR,1400159,Bonfim,"8.079,91","8.079,91",100,"3,36","-59,83",sim,,,,
Norte,14,Roraima,RR,1400175,Cantá,"7.664,83","7.664,83",100,"2,61","-60,60",sim,,,,
Norte,14,Roraima,RR,1400209,Caracaraí,"47.379,90","47.379,90",100,"1,83","-61,13",sim,,,,
Norte,14,Roraima,RR,1400233,Caroebe,"12.065,90","12.065,90",100,"0,88","-59,70",sim,,,,
Norte,14,Roraima,RR,1400282,Iracema,"14.011,70","14.011,70",100,"2,16","-61,06",sim,,,,
Norte,14,Roraima,RR,1400308,Mucajaí,"12.337,85","12.337,85",100,"2,44","-60,92",sim,,,,
Norte,14,Roraima,RR,1400407,Normandia,"6.959,87","6.959,87",100,"3,88","-59,63",sim,,,,
Norte,14,Roraima,RR,1400456,Pacaraima,"8.025,05","8.025,04",100,"4,48","-61,14",sim,,,,
Norte,14,Roraima,RR,1400472,Rorainópolis,"33.579,74","33.579,74",100,"0,95","-60,42",sim,,,,
Norte,14,Roraima,RR,1400506,São João da Baliza,"4.284,51","4.284,51",100,"0,95","-59,91",sim,,,,
Norte,14,Roraima,RR,1400605,São Luiz,"1.526,90","1.526,90",100,"1,02","-60,04",sim,,,,
Norte,14,Roraima,RR,1400704,Uiramutã,"8.113,60","8.113,60",100,"4,60","-60,16",sim,,,,
Norte,15,Pará,PA,1500107,Abaetetuba,"1.610,65","1.610,65",100,"-1,73","-48,89",sim,,,,
Norte,15,Pará,PA,1500131,Abel Figueiredo,"614,13","614,13",100,"-4,95","-48,40",sim,,,,
Norte,15,Pará,PA,1500206,Acará,"4.344,38","4.344,38",100,"-1,96","-48,20",sim,,,,
Norte,15,Pará,PA,1500305,Afuá,"8.338,44","8.338,44",100,"-0,16","-50,39",sim,,,,
Norte,15,Pará,PA,1500347,Água Azul do Norte,"7.113,96","7.113,95",100,"-6,80","-50,49",sim,,,,
Norte,15,Pará,PA,1500404,Alenquer,"23.645,45","23.645,45",100,"-1,95","-54,74",sim,,,,
Norte,15,Pará,PA,1500503,Almeirim,"72.954,80","72.954,80",100,"-1,53","-52,58",sim,,,,
Norte,15,Pará,PA,1500602,Altamira,"159.533,31","159.533,31",100,"-3,21","-52,21",sim,,,,
Norte,15,Pará,PA,1500701,Anajás,"6.913,64","6.913,64",100,"-0,99","-49,94",sim,,,,
Norte,15,Pará,PA,1500800,Ananindeua,"190,58","190,58",100,"-1,37","-48,37",sim,,,,
Norte,15,Pará,PA,1500859,Anapu,"11.895,27","11.895,27",100,"-3,47","-51,20",sim,,,,
Norte,15,Pará,PA,1500909,Augusto Corrêa,"1.099,62","1.099,62",100,"-1,02","-46,64",sim,,,,
Norte,15,Pará,PA,1500958,Aurora do Pará,"1.811,84","1.811,84",100,"-2,13","-47,56",sim,,,,
Norte,15,Pará,PA,1501006,Aveiro,"17.074,05","17.074,05",100,"-3,61","-55,33",sim,,,,
Norte,15,Pará,PA,1501105,Bagre,"4.397,32","4.397,32",100,"-1,90","-50,21",sim,,,,
Norte,15,Pará,PA,1501204,Baião,"3.759,83","3.759,83",100,"-2,79","-49,67",sim,,,,
Norte,15,Pará,PA,1501253,Bannach,"2.956,65","2.956,65",100,"-7,35","-50,41",sim,,,,
Norte,15,Pará,PA,1501303,Barcarena,"1.310,34","1.310,34",100,"-1,51","-48,63",sim,,,,
Norte,15,Pará,PA,1501402,Belém,"1.059,47","1.059,47",100,"-1,46","-48,51",sim,,,,
Norte,15,Pará,PA,1501451,Belterra,"4.398,42","4.398,42",100,"-2,65","-54,94",sim,,,,
Norte,15,Pará,PA,1501501,Benevides,"187,83","187,83",100,"-1,36","-48,24",sim,,,,
Norte,15,Pará,PA,1501576,Bom Jesus do Tocantins,"2.816,60","2.816,60",100,"-5,05","-48,60",sim,,,,
Norte,15,Pará,PA,1501600,Bonito,"586,98","586,98",100,"-1,35","-47,31",sim,,,,
Norte,15,Pará,PA,1501709,Bragança,"2.124,73","2.124,73",100,"-1,06","-46,77",sim,,,,
Norte,15,Pará,PA,1501725,Brasil Novo,"6.362,58","6.362,58",100,"-3,30","-52,54",sim,,,,
Norte,15,Pará,PA,1501758,Brejo Grande do Araguaia,"1.288,48","1.288,48",100,"-5,70","-48,40",sim,,,,
Norte,15,Pará,PA,1501782,Breu Branco,"3.941,90","3.941,90",100,"-3,78","-49,57",sim,,,,
Norte,15,Pará,PA,1501808,Breves,"9.566,57","9.566,57",100,"-1,69","-50,48",sim,,,,
Norte,15,Pará,PA,1501907,Bujaru,"994,69","994,69",100,"-1,52","-48,05",sim,,,,
Norte,15,Pará,PA,1501956,Cachoeira do Piriá,"2.419,60","2.419,60",100,"-1,76","-46,55",sim,,,,
Norte,15,Pará,PA,1502004,Cachoeira do Arari,"3.100,26","3.100,26",100,"-1,01","-48,96",sim,,,,
Norte,15,Pará,PA,1502103,Cametá,"3.081,37","3.081,37",100,"-2,24","-49,50",sim,,,,
Norte,15,Pará,PA,1502152,Canaã dos Carajás,"3.146,82","3.146,82",100,"-6,53","-49,85",sim,,,,
Norte,15,Pará,PA,1502202,Capanema,"621,48","621,48",100,"-1,19","-47,18",sim,,,,
Norte,15,Pará,PA,1502301,Capitão Poço,"2.901,03","2.901,03",100,"-1,74","-47,06",sim,,,,
Norte,15,Pará,PA,1502400,Castanhal,"1.029,30","1.029,30",100,"-1,29","-47,93",sim,,,,
Norte,15,Pará,PA,1502509,Chaves,"12.535,00","12.534,99",100,"-0,16","-49,98",sim,,,,
Norte,15,Pará,PA,1502608,Colares,"384,07","384,07",100,"-0,93","-48,29",sim,,,,
Norte,15,Pará,PA,1502707,Conceição do Araguaia,"5.829,48","5.829,48",100,"-8,26","-49,26",sim,,,,
Norte,15,Pará,PA,1502756,Concórdia do Pará,"700,59","700,59",100,"-1,99","-47,94",sim,,,,
Norte,15,Pará,PA,1502764,Cumaru do Norte,"17.085,00","17.085,00",100,"-7,81","-50,77",sim,,,,
Norte,15,Pará,PA,1502772,Curionópolis,"2.369,10","2.369,10",100,"-6,10","-49,61",sim,,,,
Norte,15,Pará,PA,1502806,Curralinho,"3.617,25","3.617,25",100,"-1,81","-49,80",sim,,,,
Norte,15,Pará,PA,1502855,Curuá,"1.431,13","1.431,13",100,"-1,89","-55,12",sim,,,,
Norte,15,Pará,PA,1502905,Curuçá,"676,32","676,32",100,"-0,73","-47,85",sim,,,,
Norte,15,Pará,PA,1502939,Dom Eliseu,"5.268,81","5.268,81",100,"-4,29","-47,55",sim,,,,
Norte,15,Pará,PA,1502954,Eldorado do Carajás,"2.956,69","2.956,69",100,"-6,10","-49,38",sim,,,,
Norte,15,Pará,PA,1503002,Faro,"11.771,67","11.771,67",100,"-2,17","-56,75",sim,,,,
Norte,15,Pará,PA,1503044,Floresta do Araguaia,"3.444,29","3.444,28",100,"-7,56","-49,71",sim,,,,
Norte,15,Pará,PA,1503077,Garrafão do Norte,"1.608,01","1.608,01",100,"-1,93","-47,05",sim,,,,
Norte,15,Pará,PA,1503093,Goianésia do Pará,"7.023,95","7.023,95",100,"-3,84","-49,10",sim,,,,
Norte,15,Pará,PA,1503101,Gurupá,"8.570,29","8.570,29",100,"-1,40","-51,64",sim,,,,
Norte,15,Pará,PA,1503200,Igarapé-Açu,"785,98","785,98",100,"-1,13","-47,62",sim,,,,
Norte,15,Pará,PA,1503309,Igarapé-Miri,"1.996,79","1.996,79",100,"-1,99","-48,96",sim,,,,
Norte,15,Pará,PA,1503408,Inhangapi,"472,61","472,60",100,"-1,43","-47,92",sim,,,,
Norte,15,Pará,PA,1503457,Ipixuna do Pará,"5.215,56","5.215,56",100,"-2,56","-47,50",sim,,,,
Norte,15,Pará,PA,1503507,Irituia,"1.385,21","1.385,21",100,"-1,77","-47,44",sim,,,,
Norte,15,Pará,PA,1503606,Itaituba,"62.042,47","62.042,47",100,"-4,27","-55,98",sim,,,,
Norte,15,Pará,PA,1503705,Itupiranga,"7.880,11","7.880,11",100,"-5,13","-49,33",sim,,,,
Norte,15,Pará,PA,1503754,Jacareacanga,"53.304,56","53.304,56",100,"-6,22","-57,76",sim,,,,
Norte,15,Pará,PA,1503804,Jacundá,"2.008,32","2.008,31",100,"-4,45","-49,11",sim,,,,
Norte,15,Pará,PA,1503903,Juruti,"8.305,45","8.305,45",100,"-2,15","-56,09",sim,,,,
Norte,15,Pará,PA,1504000,Limoeiro do Ajuru,"1.490,19","1.490,19",100,"-1,89","-49,38",sim,,,,
